ID,BOOK,MODEL_YEAR,PLANT_CODE,PACKAGE,COLOR,MODEL,UPC,FNA,COMPONENT_VARIANT_NUMBER,COUNTER,BOM_PATH,COMPONENT_MATERIAL_NUMBER,VALID_FROM_DATE,VALID_TO_DATE,PACKAGE_DESC,COLOR_DESC,MODEL_DESC,COMPONENT_MATERIAL_DESC_C,COMPONENT_MATERIAL_DESC_E,HAND,USAGE_QTY,UNIT_OF_MEASURE,USAGE_STATUS,AR_EM_MATERIAL_FLAG,WORKSHOP,SUPPLY_AREA,DUNS_NUMBER,VENDOR_NAME,EWO_NUMBER,MODEL_CODE,MODEL_OPTION,OPTIONAL_PART_GROUP,OPTIONAL_PART_RELATED,FAMILY_ADDRESS,BROADCAST_CODE,DORMANT_STATUS,DELETION_FLAG,LOADED_DATE,LAST_UPDATED_DATE,COMPONENT_VARIANT_NAME,HEADER_PART_NUMBER,STRUCTURE_NODE_DESC_E,STRUCTURE_NODE_DESC_C,ALTERNATIVE_EWO_NUMBER,ORDER_SAMPLE,OS_FLAG,SPECIAL_PROCUREMENT_TYPE,MATERIAL_STATUS,ENGINEER_CODE,REPLACEMENT,VPPS
1,EH,2018,DY10,4JJE,GJX,1HC69,1A2B,X0042,40F2E913A9E51ED6B3D31088E455DEF5_SQR210,00000001,@262368282017010126236828@12102017040126267232,26267232,20170401,99991231,4JJE,"PRIMARY COLOR EXTERIOR, BLUGJX",CHEVROLET SGM318/328 MID SEC69,仪表板中间上饰条总成,MOLDING ASM-I/P CTR UPR<SEE GUIDE/CONTAC,,1,EA,A,,,,0724112821_SQR210,上海延锋金桥汽车饰件系统有限公司烟台分公司,,AF0W,1 HC 69\&M72&CF5&KL9&MAO&4A7-XFP.,,,,,,,43004.21772,43004.21772,V135/0210,26236828,MOLDING ASM-I/P CTR UPR<SEE GUIDE/CONTAC,仪表板中间上饰条总成,,OS1,1,30,,,,411(Interior)
2,EH,2018,DY10,4JJE,GJX,1HC69,1A2B,X0042,40F2E913A9E51ED6B3D31088E455DEF5_SQR210,00000001,@262368282017010126236828@12302017040126206277,26206277,20170401,99991231,4JJE,"PRIMARY COLOR EXTERIOR, BLUGJX",CHEVROLET SGM318/328 MID SEC69,仪表板上饰板总成,PANEL ASM-I/P UPR TR,,1,EA,A,,,,0724112821_SQR210,上海延锋金桥汽车饰件系统有限公司烟台分公司,,AF0W,1 HC 69\&M72&CF5&KL9&MAO&4A7-XFP.,,,,,,,43004.21772,43004.21772,V135/0230,26236828,PANEL ASM-I/P UPR TR,仪表板上饰板总成,,OS1,1,30,,,,411(Interior)
3,EH,2018,DY10,4JJE,GJX,1HC69,1A2B,X0042,40F2E913A9E51ED6B3D31088E455DEF5_SQR210,00000001,@262368282017010126236828@12502017040126267228,26267228,20170401,99991231,4JJE,"PRIMARY COLOR EXTERIOR, BLUGJX",CHEVROLET SGM318/328 MID SEC69,仪表板上饰条总成,MOLDING ASM-I/P UPR<SEE GUIDE/CONTACT BF,,1,EA,A,,,,0724112821_SQR210,上海延锋金桥汽车饰件系统有限公司烟台分公司,,AF0W,1 HC 69\&M72&CF5&KL9&MAO&4A7-XFP.,,,,,,,43004.21772,43004.21772,V135/0250,26236828,MOLDING ASM-I/P UPR<SEE GUIDE/CONTACT BF,仪表板上饰条总成,,OS1,1,30,,,,411(Interior)
4,EH,2018,DY10,4JJE,GJX,1HC69,1A2B,X0042,40F2E913A9E51ED6B3D31088E455DEF5_SQR210,00000001,@262368282017010126236828@12602017040126267230,26267230,20170401,99991231,4JJE,"PRIMARY COLOR EXTERIOR, BLUGJX",CHEVROLET SGM318/328 MID SEC69,仪表板上饰条总成,MOLDING ASM-I/P UPR<SEE GUIDE/CONTACT BF,,1,EA,A,,,,0724112821_SQR210,上海延锋金桥汽车饰件系统有限公司烟台分公司,,AF0W,1 HC 69\&M72&CF5&KL9&MAO&4A7-XFP.,,,,,,,43004.21772,43004.21772,V135/0260,26236828,MOLDING ASM-I/P UPR<SEE GUIDE/CONTACT BF,仪表板上饰条总成,,OS1,1,30,,,,411(Interior)
5,EH,2018,DY10,4JJE,GJX,1HC69,1A2B,X0042,40F2E913A9E51ED6B3D31088E455DEF5_SQR210,00000001,@262368282017010126236828@14002017040111609461,11609461,20170401,99991231,4JJE,"PRIMARY COLOR EXTERIOR, BLUGJX",CHEVROLET SGM318/328 MID SEC69,收音机螺栓,SCREW ASM,,4,EA,A,,,,0160156212_SQR210,SAIC USA INC.,,AF0W,1 HC 69\&M72&CF5&KL9&MAO&4A7-XFP.,,,,,,,43004.21772,43004.21772,V135/0400,26236828,SCREW ASM,收音机螺栓,,OS1,1,30,,,,411(Interior)
6,EH,2018,DY10,4JJE,GJX,1HC69,1A2B,X0042,40F2E913A9E51ED6B3D31088E455DEF5_SQR210,00000001,@262368282017010126236828@1460201704019030397,9030397,20170401,99991231,4JJE,"PRIMARY COLOR EXTERIOR, BLUGJX",CHEVROLET SGM318/328 MID SEC69,螺栓 六角 带粘合剂 M6X1X20,BOLT HEXAGON WITH ADHESIVE M6X1X20,,2,EA,A,,,,0421298612_SQR210,宁波长华长盛汽车零部件有限公司,,AF0W,1 HC 69\&M72&CF5&KL9&MAO&4A7-XFP.,,,,,,,43004.21772,43004.21772,V135/0460,26236828,BOLT HEXAGON WITH ADHESIVE M6X1X20,螺栓 六角 带粘合剂 M6X1X20,,OS1,1,30,,,,411(Interior)
7,EH,2018,DY10,4JJE,GJX,1HC69,1A2B,X0042,40F2E913A9E51ED6B3D31088E455DEF5_SQR210,00000001,@262368282017010126236828@14702017040111519375,11519375,20170401,99991231,4JJE,"PRIMARY COLOR EXTERIOR, BLUGJX",CHEVROLET SGM318/328 MID SEC69,天窗板螺钉,BOLT ASM - HX HD FLAT WA M-POINT,,1,EA,A,,,,0421298612_SQR210,宁波长华长盛汽车零部件有限公司,,AF0W,1 HC 69\&M72&CF5&KL9&MAO&4A7-XFP.,,,,,,,43004.21772,43004.21772,V135/0470,26236828,BOLT ASM - HX HD FLAT WA M-POINT,天窗板螺钉,,OS1,1,30,,,,411(Interior)
8,EH,2018,DY10,4JJE,GJX,1HC69,1A2B,X0042,40F2E913A9E51ED6B3D31088E455DEF5_SQR210,00000001,@262368282017010126236828@14802017040111589015,11589015,20170401,99991231,4JJE,"PRIMARY COLOR EXTERIOR, BLUGJX",CHEVROLET SGM318/328 MID SEC69,仪表组件螺栓,BOLT ASM-HX WA HD TAPPING W/FL WA,,2,EA,A,,,,0544893852_SQR210,盈锋紧固系统（无锡）有限公司,,AF0W,1 HC 69\&M72&CF5&KL9&MAO&4A7-XFP.,,,,,,,43004.21772,43004.21772,V135/0480,26236828,BOLT ASM-HX WA HD TAPPING W/FL WA,仪表组件螺栓,,OS1,1,30,,,,411(Interior)
9,EH,2018,DY10,4JJE,GJX,1HC69,1A2B,X0042,40F2E913A9E51ED6B3D31088E455DEF5_SQR210,00000001,@262368282017010126236828@1500201704019046460,9046460,20170401,99991231,4JJE,"PRIMARY COLOR EXTERIOR, BLUGJX",CHEVROLET SGM318/328 MID SEC69,点火锁芯控制开关总成,SWITCH ASM-IGN LK CYL CONT,,1,EA,A,,,,0545263332_SQR210,浙江致威电子科技有限公司,,AF0W,1 HC 69\&M72&CF5&KL9&MAO&4A7-XFP.,,,,,,,43004.21772,43004.21772,V135/0500,26236828,SWITCH ASM-IGN LK CYL CONT,点火锁芯控制开关总成,,OS1,1,30,,,,411(Interior)
10,EH,2018,DY10,4JJE,GJX,1HC69,1A2B,X0042,40F2E913A9E51ED6B3D31088E455DEF5_SQR210,00000001,@262368282017010126236828@15802017040111589253,11589253,20170401,99991231,4JJE,"PRIMARY COLOR EXTERIOR, BLUGJX",CHEVROLET SGM318/328 MID SEC69,螺栓－重载 盖帽式 六角法兰头,BOLT - HVY HX ACORN FLG HD,,1,EA,A,,,,0160156212_SQR210,SAIC USA INC.,,AF0W,1 HC 69\&M72&CF5&KL9&MAO&4A7-XFP.,,,,,,,43004.21772,43004.21772,V135/0580,26236828,BOLT - HVY HX ACORN FLG HD,螺栓－重载 盖帽式 六角法兰头,,OS1,1,30,,,,411(Interior)
