Packing_type,Folding_ratio
P0000S0A,1
P000000A,1
P0000S0B,1
P000000B,1
P0000S0C,1
P000000C,1
P00000PA,1
P0000PA2,1
P00000PB,1
P0000PB2,1
P00000PC,1
P0000PC2,1
P0000S0D,1
P000000D,1
P0000S0H,1
P000000H,1
PZ0000D3,0.25
PZ0000D4,0.333333333
PZ0000D6,0.5
PZ0000B4,0.333333333
PZ0000B6,0.5
P00000PH,0.333333333
P0000PH2,0.285714286
EU41211,1
MZ0B110A,0.375
MZB1411B,0.3
MZ0B168A,0.33333
MZ0B148A,0.33333
MZ0B110H,0.375
MZ0B110D,0.55556
MZ0B148D,0.44444
MZ0B180C,0.5
M0002211,1
M00B250E,1
