Supplier Duns,Supplier Name,Pick Up Loaction,State,City,ZIP CODE,Kilometers,Rate,CPC
42438176,KAY SCREEN PRINTING,"57 KAY INDUSTRIAL DR, Lake Orion, MI  48359",MI,"Lake, Orion",48359,1.7,0.34,0.58
65465165,KAY SCREEN PRINTING,"57 KAY INDUSTRIAL DR, Lake Orion, MI  48359",MI,"Lake, Orion",48359,1.7,0.34,0.58
79386474,Challende Manufacturing,2501 Centerpoint PKWY,MI,"Pontiac, MI",48341,18.5,0.34,6.29
879498590,Ameripak,"P.O. BOX 420065, Pontiac MI 48342",MI,"Pontiac, MI",48342,18.5,0.34,6.29
831478602,Coastal Automotive,"2871 Research Dr., Rochester Hills, MI 48309",MI,"Rochester Hills, MI",48309,23.3,0.34,7.92
37738192,Universal Tube Inc,"2607 BOND ST, ROCHESTER HILLS, MI 48309",MI,"Rochester Hills, MI",48309,23.5,0.34,7.99
40584963,UNIQUE FABRICATING INC,"800 Standard Parkway, Auburn Hills, MI  48326",MI,"Auburn Hills, MI",48326,24.9,0.34,8.47
50614114,Flexible Products Co.,"2600 Auburn Ct., Auburn Hills, MI  48326",MI,"Auburn Hills, MI",48326,24.9,0.34,8.47
53585626,CHAMPION PLASTICS INC,"1892 Taylor Rd. Auburn Hills, MI 48326",MI,"Auburn Hills, MI",48326,24.9,0.34,8.47
79731152,US Farathane - Auburn Hi,"2700 HIGH MEADOW CIRCLE, AUBURN HILLS, MI 48326",MI,"AUBURN HILLS, MI",48326,24.9,0.34,8.47
829923304,KATCON,"2965 Lapeer Road, Auburn Hills, MI 48326",MI,"Auburn Hills, MI",48326,24.9,0.34,8.47
962772104,US Farathane - Auburn Hi,"2700 HIGH MEADOW CIRCLE, AUBURN HILLS, MI 48326",MI,"AUBURN HILLS, MI",48326,24.9,0.34,8.47
6532584,Fisher Dynamics,1625 West Maple Road,MI,"Troy, MI",48084,29.6,0.34,10.06
78849132,"Lawrence Plastics,Inc.","87 Northpointe Dr, Lake Orion, MI  48359",MI,"Orion, MI",48359,29.9,0.34,10.17
55355502,YAREMA DIE & ENGINEERING CO,"1855 Stephenson Hwy, Troy, MI  48083",MI,"Troy, MI",48083,34.8,0.34,11.83
783268910,DENSO MANUFACTURING,"24777 DENSO DR, Southfield, MI  48034",MI,"Southfield, MI",48034,34.8,0.34,11.83
70299268,MNP CORPORATION,"44225 Utica rd Utica, MI 48317",MI,"Utica, MI",48317,35.4,0.34,12.04
198237252,Edscha Auto Michigan,"100 E. Fair Street, Lapeer, MI 48446",MI,"Lapeer, MI",48446,36.1,0.34,12.27
206421489,Techform Products Limited,"100 E. Fair Street, Lapeer, MI 48446",MI,"Lapeer, MI",48446,36.1,0.34,12.27
36281710,Mollertech,13877 Teresa dr ,MI,Shelby Twp,48315,36.9,0.34,12.55
964992619,Magna Electronics,"10410 North Holly Rd.? Holly, MI? 48442? USA",MI,"Holly, MI",48442,39.6,0.34,13.46
74256942,Engineering Tube Specialties,"85 Myron Street, Ortonville, MI 48462",MI,"Ortonville, MI",48462,40.6,0.34,13.80
2024482,MULTI PLEX INC,"6363 East 14 Mile Rd, Sterling Heights, MI 48312",MI,"Sterling Heights, mi",48312,42.5,0.34,14.45
18106265,US Farathane - Sterling Heights,"38000 Mound Road, Sterling Heights MI 48310",MI,"Sterling Heights, MI",48310,42.5,0.34,14.45
6520134,"Burkland, INC",6520 S State Road,MI,"Goodrich, MI",48438,43.29,0.34,14.72
5341664,"Advanced Assembly Products,Inc.","1300 E .9 Mile Hazel Park, MI. USA",MI,"Hazel Park, MI",,46.2,0.34,15.71
6525794,U.S. Manufacturing Corporation,"28201 Van Dyke, Warren MI 48093",MI,"Warren, MI",48093,48.1,0.34,16.35
42321828,IROQUOIS INDUSTRIES,"25101 Grosbeck, Warren MI 48089",MI,"Warren, MI",48089,48.1,0.34,16.35
125190806,RADAR INDUSTRIES INC,"12400 STEPHENS  WARREN, MI 48089",MI,"Warren, MI",48089,48.1,0.34,16.35
829671473,"SRG Global,INC",23751 Amber Ave ,MI,"Warren, MI",48089,48.1,0.34,16.35
5509385,Whitlam Group??????????????????????????????????????????????????? ,24800 Sherwood ,MI,"Center Line, MI",48015,49.6,0.34,16.86
49274830,MARTINREA FABCO HOT STAMPINGS INC,"19200 Glendale Ave, Detroit Mi 48223",MI,"Detroit, Mi",48223,51,0.34,17.34
800930831,US Farathane Corporation - Westland,39200 Ford rd ,MI,"Westland, MI",48185,60.3,0.34,20.50
20837233,DAJACO INDUSTRIES IN,"49715 Leona Dr, Chesterfield,MI 48051",MI,"Chesterfield, MI",48051,62.4,0.34,21.22
42439265,"Motor City Stamping, Inc","47783 N GRATIOT AVE Chesterfield, MI 48051",MI,"Chesterfield, MI",48051,62.4,0.34,21.22
620897061,Creative 2 Foam Corporation,"5117 S. Dort Hwy, Flint, MI 48507",MI,"Flint, MI",48507,63.2,0.34,21.49
836207647,EAGLE INDUSTRIES,"4936 Technical Dr, Milford,MI 48381",MI,Milford MI,48381,63.4,0.34,21.56
186028866,HITACHI AUTOMOTIVE AMERICA,"34500 Grand River Avenue, Farmington Hills, MI",MI,"Farmington, Hills",,64.3,0.34,21.86
5334412,TOMPKINS PRODUCTS INC,"1040 W GRAND BLVD, Detroit, MI 48208",MI,"Detroit, MI",48208,66.3,0.34,22.54
965549681,Sakhi Automotive Group,"6401 W fort st Detroit, Mi 48209",MI,"Detroit, Mi",48209,66.9,0.34,22.75
5372040,Armada Rubber Mfg Co,"24586 ARMADA RIDGE ROAD, ARMADA MICHIGAN 48005, USA",MI,"ARMADA, MICHIGAN",48005,74.8,0.34,25.43
816473789,Tribar Manufacturing,2211 Grand Commerce ,MI,"Howell, MI",48855,76.2,0.34,25.91
184861805,MOHR ENGINEERING INC,"1351 Rickett Road PO Box 779, Brighton MI 48116",MI,"Brighton, MI ",48116,81.8,0.34,27.81
791307630,Aspen Technologies,"7867 LOCHLIN DRIVE    BRIGHTON,  MI  48116   USA",MI,"Brighton, MI ",48116,81.8,0.34,27.81
138784,Hosiden America Corporation,"27651 Hildebrand . Suite 400,Romulus,MI  48174",MI,"Romulus,MI, MI",48174,84,0.34,28.56
37749264,GMPT Romulus Engine,"36880 Ecorse Road, Romulus, MI 48174",MI,"Romulus,MI",48174,84,0.34,28.56
108415431,Creative Foam Corporation,"300 N Alloy Drive, Fenton,MI 48451",MI,"Fenton, MI",48451,84,0.34,28.56
138440180,GM POWERTRAIN-BALTIMORE,"36880 Ecorse Road, Romulus, MI 48174",MI,"Romulus,MI",48174,84,0.34,28.56
178080156,TRW Engineered Fasteners & Componen,"9475 Center Road, Fenton,MI 48430",MI,"Fenton, MI",48430,84,0.34,28.56
192853,GM Brownstown Battery Assembly Plant,"20001 Brownstown Center Dr, Brownstown, MI. 48183",MI,"Brownstown, MI",48183,84.4,0.34,28.70
122505659,TRW Automotive - Fowlerville,"500 East Van Riper, Fowlerville, MI 48836",MI,"Fowlerville, MI",48836,85.9,0.34,29.21
57009821,Wellington Industries,"39555 S I-94 Service Dr, Belleville,MI 48111",MI,"Belleville, MI",48111,88,0.34,29.92
132713012,Grupo Antolin Michigan,"6300 Euclid St.,  ",MI,Marlette MI,48453,91.2,0.34,31.01
5356688,GM POWERTRAIN-BAY CITY,"2480 Airport Dr Ypsilanti, MI 48198",MI,"Ypsilanti, MI (Airport)",48198,92.37,0.34,31.41
5498423,Progressive Metal Forming,"10850 Hall Road, Hamburg, MI  48139",MI,"Hamburg, MI, MI",48139,92.5,0.34,31.45
963150821,"Flexible Metal, Inc.","7495 E M - 36 Hamburg, MI 48319",MI,"Hamburg, MI, MI",48319,92.5,0.34,31.45
794287008,DIVERSIFIED MACHINE BRISTOL INC c/o,"2223 Dove Street, Port Huron, MI  48060",MI," Port Huron, MI",48060,98.2,0.34,33.39
112900746,Means Industries,"3715 E.Washington Rd.Saginaw,MI.48601 USA",MI,"Saginaw, MI",48601,125.4,0.34,42.64
