TEC No.,Common Part Name
1,Rear Rail ASM LH/RH
2,Impact Beam - Front
3,Front Wheelhouse ASM LH/RH
4,Motor Compartment Rail ASM LH/RH 
5,Rear Wheelhouse Panel ASM LH/RH
6,Rocker Inner Panel ASM LH/RH
7,Body Side Outer Panel LH/RH
8,Rear End Lower Panel
9,Roof Panel ASM
10,Fender LH/RH
11,Engine
12,Automatic or Manual Transmission
13,Rear Axle
14,Steering system (Gear) 
15,Frame Asm Drivetrain (FRT Cradle)
16,Tires
17,Steel or Alloy Wheels
18,Headliner Substrate (Headliner Trim only)
19,Pedal Module 
20,HVAC
21,Cross Car Beam (IP Tie Bar ASM)
22,IP Panel
23,IP Wiring Harness
24,Front Exhaust System (Hot End)
25,Rear Exhaust System (Cold End)
26,Fuel Tank 
27,Brake & Fuel line Bundles 
28,Cooling Module (CRFM)
29,Front Floor Console 
30,SEATS Front & Rear 
31,A-Pillar LH/RH
32,B-Pillar Upper LH/RH
33,B-Pillar Lower LH/RH
34,C-Pillar Upper (Quarter Sail) LH/RH
35,Rear Quarter Side Trim Panel LH/RH
36,Carpet Retainer Panel (Sill Trim Plate) LH/RH
37,Liftgate/Rear Compartment Sill Trim Plate
38,Rear End Trim Panel
39,Front Door Trim LH/RH
40,Rear Door Trim LH/RH
41,Front Floor Carpet
42,Rear Floor Carpet
43,Rear Compartment Side Trim LH/RH
44,Dash Panel Inner Insulator ASM
45,Outside Rearview Mirror (OSRVM) LH/RH
46,Windshield
47,Rear Window (Backlite)
48,Front Fascia/Bumper
49,Rear Fascia/Bumper
50,Rear Impact Beam
51,Front Wheelhouse Liner LH/RH
52,Rear Wheelhouse Liner LH/RH
53,Sunroof Module
54,Headlamps LH/RH
55,Tail lamps LH/RH
56,Generator
57,Battery
58,Main Body Wiring Harness
59,Forward Lamp Wiring Harness
60,Underbody Panel Rr Floor Frt
61,Underbody Panel Rear Floor Rear
62,Front Floor Panel LH/RH
63,Front Floor Tunnel ASM
64,Front Spider ASM LH / RH (#2 bar asm)
65,Cowl Upper - Plenum Upper Panel ASM
66,Upper Tie  Bar  - Headlamp & Front Bumper Panel ASM
67,Dash Panel Upper Extension
68,Dash Panel Lower Extension
69,Body Hinge Pillar Inner Panel ASM LH/RH
70,Center Pillar Inner Panel ASM LH/RH
71,Body Side Panel Inner LH/RH
72,Body Hinge Pillar Inner Panel Reinforcement ASM LH/RH
73,Roof Side Rail Outer Reinforcement ASM LH/RH
74,Rocker Outer Reinforcement ASM LH/RH
75,Center Pillar Outer Reinforcement ASM LH/RH
76,Body Hinge Pillar Panel Reinforcement ASM LH/RH
77,Roof Rear Header Panel ASM
78,Rear End Lower Panel Reinforcement ASM
79,Front Side Door Window Frame ASM LH/RH
80,Front Door Inner LH/RH
81,Front Door Outer LH/RH
82,Rear Side Door Window Frame ASM LH/RH
83,Rear Door Inner LH/RH
84,Rear Door Outer LH/RH
85,Hood Inner Panel (Structure)
86,Hood Outer Panel (Skin)
87,Liftgate Inner or Decklid Inner Panel (Structure)
88,Outer Panel Liftgate Lower or Decklid Outer (Skin)
89,Rear Spring LH/RH
90,Rear Shock Absorber ASM
91,Rear Stabilizer Shaft Asm
92,Rear Brake Disc / Rotor LH/RH
93,Rear Brake Caliper LH/RH
94,Steering Knuckle LH/RH
95,Front Brake disc / rotor LH/RH
96,Front Brake Caliper LH/RH
97,FRT Spring LH/RH
98,Front Strut ASM LH/RH
99,Front Stabilizer Bar
100,Front Control Arms LH/RH
101,Sunroof Headliner Substrate (Headliner Trim only)
102,Steering column & I-Shaft 
103,Knee Bolster
104,Glove Compartment or Glove Box
105,IP Lower Trim Panel
106,Steering Wheel
107,IP Cluster
108,Radio
109,Starter
110,Air cleaner
111,Shift Control (AT or MT Shifter)
112,Halfshafts LH/RH
113,Fuel Filler Pipe
114,Spare Tire/Wheel Asm
115,Park Brake Lever
116,Brake Apply / Booster 
117,Tire Repair Kit (Tool & Jack Kit)
118,Compressor
119,Floor Console Extensions LH/RH
120,Rear Compartment Trim
121,Luggage Shade Cover or Rear Window Panel
122,Dash Panel Outer Insulator ASM
123,Hood Insulator
124,Driver Airbag
125,Passenger Airbag
126,Roof Rail Airbag LH/RH
127,Fuel Filler Door
128,Door Handles (Exterior) LH/RH & Frt/Rr
129,Front Door Window Regulator LH/RH
130,Glass (front door) LH/RH
131,Front Side Door Window Weatherstrip ASM LH/RH
132,Front Side Door Window Garnish LH/RH
133,Rear Door Window Regulator LH/RH
134,Glass (rear door) LH/RH
135,Rear Side Door Window Weatherstrip ASM LH/RH
136,Rear Side Door Window Garnish LH/RH
137,Glass quarter window LH/RH
138,Rocker Panel LH/RH
139,Air Inlet Grille
140,Front Wiper Module LH/RH
141,Washer container
142,Luggage Carrier
143,Spoiler
144,Wiring Harness - ECM & Engine
