TEC No.,Common Part Name,MGO Part Name & Tech Example DMU
1,Rear Rail ASM LH/RH,RAIL ASM-U/B RR SI or RAIL ASM-R/CMPT FLR PNL
2,Impact Beam - Front,BAR ASM-FRT BPR IMP
3,Front Wheelhouse ASM LH/RH,PANEL ASM-FRT W/H
4,Motor Compartment Rail ASM LH/RH ,RAIL ASM-F/CMPT SI
5,Rear Wheelhouse Panel ASM LH/RH,PANEL ASM-RR W/H
6,Rocker Inner Panel ASM LH/RH,PANEL ASM-RKR INR
7,Body Side Outer Panel LH/RH,PANEL-BODY SI OTR
8,Rear End Lower Panel,PANEL-R/END LWR
9,Roof Panel ASM,PANEL ASM-RF or PANEL-RF
10,Fender LH/RH,FENDER-FRT
11,Engine,ENGINE ASM
12,Automatic or Manual Transmission,TRANSAXLE ASM - AUTO
13,Rear Axle,AXLE ASM-RR (W/ INSL)
14,Steering system (Gear) ,GEAR ASM-STRG (W/ MOT) 
15,Frame Asm Drivetrain (FRT Cradle),FRAME ASM-DRIVETRAIN & FRT SUSP or CRADLE ASM-DRIVETRAIN & FRT SUSP
16,Tires,TIRE-205/60R16 N HW3 TL BW
17,Steel or Alloy Wheels,WHEEL ASM-16X4T STEEL 41MM O/S 110.0X5XM1
18,Headliner Substrate (Headliner Trim only),PANEL ASM-HDLNG TR or PANEL ASM-SUN RF PNL TR
19,Pedal Module ,PEDAL ASM-BRK & ACCEL (W/ BRKT)
20,HVAC,MODULE ASM-HTR & A/C EVPR &   BLO
21,Cross Car Beam (IP Tie Bar ASM),BAR ASM-I/P TIE
22,IP Panel,PANEL ASM-INST
23,IP Wiring Harness,HARNESS ASM-I/P WRG
24,Front Exhaust System (Hot End),CONVERTER ASM 3WAY CTLTC (W/  EXH RR MANI) or PIPE ASM-EXH FRT
25,Rear Exhaust System (Cold End),MUFFLER ASM-EXH (W/ EXH &     T/PIPE & 3W
26,Fuel Tank ,TANK ASM-FUEL (W/ SDR)
27,Brake & Fuel line Bundles ,PIPE ASM-BRK & FUEL FEED & EVAP EMIS
28,Cooling Module (CRFM),RADIATOR ASM-(W/ A/C CNDSR &  ENG COOL FAN)
29,Front Floor Console ,CONSOLE ASM-F/FLR
30,SEATS Front & Rear ,SEAT ASM-DRVR
