卡车车型,车辆立方,装载率,车辆可装载立方,车辆行驶平均速度,装卸时间,油价联动,包车价,超时价,公里数单价
上海8米卡车,40,0.6,24,24.5,1,1,559.057,62.117,
上海9.6米卡车,50,0.6,30,24.5,1,1,659.688,73.299,
上海12米卡车,60,0.6,36,24.5,1,1,828.668,92.074,
武汉MR 8米卡车,40,0.65,26,24.5,1,1,559.057,,
武汉园区短驳拖车,24,0.45,10.8,15,0.68,,659.688,,
武汉园区短驳卡车,50,0.65,32.5,20,1,,828.668,,
北盛8米卡车,40,0.65,26,24.5,1,1,559.057,62.117,3.874
北盛9.6米卡车,50,0.65,32.5,24.5,1,1,659.688,73.299,
北盛12米卡车,60,0.65,39,24.5,1,1,828.668,92.074,4.474
东岳8米卡车,40,0.65,26,30,1,1,559.057,62.117,3.874
东岳9.6米卡车,50,0.65,32.5,30,1,1,659.688,73.299,
东岳12米卡车,60,0.65,39,30,1,1,828.668,92.074,4.474
